Source,etc_1,etc_2,etc_3,etc_4,etc_5,etc_6,etc_7,etc_8,etc_9,etc_10,etc_11,etc_12
he45prec85,10.1879845470,9.2039488081,15.3319212390,46.0366884260,86.3615355970,178.7891210300,159.4311519700,139.4484157600,140.2049617500,59.4373152040,9.0370295228,5.6053205977
he45prec55,10.5627682020,8.9935789586,15.1201025070,42.5252905690,88.3586128590,170.9149444200,157.2144472300,137.1552601800,136.6691465800,53.5650535680,9.3647843590,6.1800517612
he85prec55,12.3629144600,8.6083637846,14.0579708920,42.0364000030,86.5502856900,174.8885021200,151.8903059900,124.6272376700,135.3666024100,56.6842478880,9.3736661569,6.3530571567
he85prec85,11.1625559170,8.6579076391,15.7660059070,42.5582326040,85.1253979140,173.2049785000,131.8323860800,105.2340775500,138.9580036800,74.0395302280,10.7191500170,5.9321580076
